Latitude,Longitude,Depth,Magnitude,No,Cluster
0.775,0.717,0.012,0.387,414,0
0.154,0.31,0.019,0.331,415,0
0.256,0.76,0.251,0.552,416,3
0.482,0.755,0.115,0.301,417,0
0.252,0.742,0.268,0.631,418,3
0.098,0.571,0.179,0.565,419,3
0.743,0.592,0.012,0.506,420,1
0.18,0.258,0.012,0.35,421,0
0.159,0.363,0.012,0.282,422,0
0.09,0.6,0.091,0.565,423,1
0.567,0.679,0.013,0.481,424,1
0.68,0.538,0.019,0.326,425,0
0.44,0.989,0.012,0.331,426,0
0.423,0.702,0.015,0.312,427,0
0.521,0.121,0.015,0.306,428,0
0.716,0.678,0.021,0.375,429,0
0.855,0.691,0.012,0.434,430,1
0.137,0.332,0.012,0.392,431,0
0.159,0.308,0.036,0.347,432,0
0.63,0.783,0.016,0.257,433,0
0.16,0.331,0.15,0.361,434,3
0.642,0.617,0.147,0.432,435,3
0.252,0.764,0.155,0.449,436,3
0.276,0.188,0.012,0.448,437,1
0.122,0.354,0.012,0.354,438,0
0.153,0.31,0.019,0.431,439,1
0.413,0.761,0.031,0.32,440,0
0.153,0.309,0.012,0.445,441,1
0.219,0.753,0.176,0.569,442,3
0.125,0.552,0.16,0.499,443,3
0.633,0.608,0.021,0.332,444,0
0.608,0.617,0.056,0.555,445,1
0.606,0.616,0.012,0.558,446,1
0.469,0.715,0.012,0.375,447,0
0.608,0.616,0.012,0.502,448,1
0.421,0.87,0.024,0.44,449,1
0.074,0.462,0.012,0.349,450,0
0.666,0.616,0.308,0.335,451,3
0.718,0.694,0.069,0.487,452,1
0.156,0.31,0.013,0.489,453,1
0.743,0.703,0.178,0.534,454,3
0.173,0.28,0.017,0.303,455,0
0.177,0.649,0.012,0.421,456,1
0.497,0.577,0.012,0.527,457,1
0.16,0.5,0.027,0.402,458,0
0.726,0.572,0.012,0.275,459,0
0.242,0.656,0.718,0.506,460,2
0.165,0.288,0.029,0.411,461,1
0.56,0.747,0.012,0.323,462,0
0.125,0.379,0.044,0.499,463,1
0.131,0.335,0.016,0.348,464,0
0.285,0.781,0.107,0.572,465,1
0.726,0.691,0.012,0.357,466,0
0.558,0.094,0.068,0.386,467,0
0.72,0.692,0.025,0.413,468,1
0.195,0.712,0.247,0.484,469,3
0.154,0.309,0.032,0.311,470,0
0.076,0.521,0.012,0.452,471,1
0.459,0.726,0.012,0.283,472,0
0.646,0.613,0.156,0.257,473,0
0.097,0.439,0.037,0.261,474,0
0.36,0.688,0.033,0.518,475,1
0.382,0.741,0.1,0.38,476,0
0.592,0.558,0.012,0.353,477,0
0.154,0.309,0.04,0.495,478,1
0.336,0.167,0.017,0.289,479,0
0.471,0.774,0.033,0.288,480,0
0.447,0.143,0.057,0.544,481,1
0.089,0.362,0.031,0.377,482,0
0.789,0.087,0.192,0.381,483,3
0.729,0.683,0.012,0.362,484,0
0.483,0.72,0.012,0.546,485,1
0.152,0.307,0.032,0.354,486,0
0.937,0.018,0.012,0.407,487,1
0.666,0.576,0.194,0.356,488,3
0.609,0.579,0.012,0.341,489,0
0.71,0.688,0.024,0.327,490,0
0.339,0.823,0.012,0.562,491,1
0.469,0.717,0.107,0.395,492,0
0.875,0.056,0.021,0.365,493,0
0.479,0.771,0.016,0.42,494,1
0.656,0.628,0.063,0.364,495,0
0.6,0.696,0.013,0.337,496,0
0.705,0.522,0.012,0.271,497,0
0.17,0.271,0.015,0.301,498,0
0.629,0.66,0.013,0.426,499,1
0.686,0.102,0.183,0.415,500,3
0.176,0.335,0.012,0.377,501,0
0.373,0.164,0.032,0.375,502,0
0.458,0.977,0.113,0.522,503,1
0.209,0.248,0.033,0.382,504,0
0.568,0.723,0.012,0.354,505,0
0.487,0.752,0.017,0.47,506,1
0.489,0.751,0.021,0.358,507,0
0.487,0.753,0.019,0.38,508,0
0.488,0.753,0.012,0.329,509,0
0.696,0.552,0.012,0.299,510,0
0.155,0.31,0.012,0.314,511,0
0.719,0.7,0.012,0.336,512,0
